videoId,title,publishedAt,viewCount,likeCount,favoriteCount,commentCount
myr6QnUSmro,더불어민주당 대구 국회의원 후보 집중유세 생중계,2024-04-04T10:20:42Z,64705,7927,0,172
WgkwmKjTZXQ,울산 울주군 이선호 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-04T08:49:11Z,16258,2965,0,32
k-ECyeFdbDM,울산 남구갑 전은수 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-04T07:05:08Z,20266,2366,0,70
apREpGHR6Z0,4월 5일~6일 일찍일찍 사전투표!  첫번째칸 잊지마세요💙 - 김부겸 상임공동선대위원장,2024-04-04T06:37:00Z,4075,323,0,33
hBugdMvxbCk,울산 남구을 박성진 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-04T06:35:01Z,7679,1637,0,37
JgvpHswy5YI,부산 기장군 최택용 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-04T05:48:18Z,18676,2660,0,70
lh8zvm5_lV8,부산 수영구 유동철 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-04T04:10:09Z,14441,2690,0,42
9TubZPgKplM,함께 심판합시다! 4월 5~6일 사전투표! - 이해찬 상임공동선대위원장,2024-04-04T04:07:53Z,11442,1554,0,88
JG12vz9x4I0,부산 부산진구갑 서은숙 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-04T03:23:18Z,15149,2267,0,62
0urWSyp4GtI,더불어민주당 부산 국회의원 후보자 사전투표독려 퍼포먼스 생중계,2024-04-04T02:21:01Z,11079,1775,0,19
mG9SfUSWn9Y,부산 중구영도구 박영미 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-04T01:55:16Z,27310,3321,0,80
HT_N0dn-Kw0,부산 서면 집중유세 생중계 - 이재명 상임공동선대위원장,2024-04-03T12:04:59Z,26462,4669,0,88
UU0o-UKumVI,부산 부산진구을 이현 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-03T09:58:35Z,8967,1755,0,42
FPHyS1ks5Ds,부산 사상구 배재정 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-03T09:13:03Z,40544,5131,0,145
KoUPRJw3iYY,경남 창원시의창구 김지수 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-03T07:51:28Z,24925,3746,0,56
4sukUGGl_P0,경남 창원시성산구 허성무 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-03T06:57:44Z,21409,3543,0,62
Vywj7ktVz1M,(소곤소곤) 혹시 그거 알아?😗,2024-04-03T02:23:11Z,1288,202,0,4
YL525e0uui4,민주당에 등장한 사과와 배추,2024-04-02T06:26:47Z,4795,692,0,26
c48A8oR0ibI,인천 중구강화군옹진군 조택상 후보 지지유세 생중계 - 이재명 상임공동선대위원장,2024-04-01T10:05:30Z,11842,2042,0,35
Sh7FOssoOSM,인천 동구미추홀구을 남영희 후보 지지유세 - 이재명 상임공동선대위원장,2024-04-01T08:22:50Z,25116,3278,0,57
cEFL6OALfUs,사전투표도 지역은 1번! 비례는 3번!,2024-04-01T05:49:05Z,5748,841,0,24
2B42Fiy4oxg,지역은 1번! 비례는 3번!,2024-04-01T04:54:11Z,1914,374,0,42
x23LCW6lR84,지역은 1번! 비례는 3번!,2024-04-01T04:13:26Z,5121,1114,0,40
n5OfgGoR8hQ,중앙 선거대책위원회의 생중계 - 더불어민주당,2024-04-01T01:14:07Z,9452,2072,0,73
Fnxg3c5uNx8,김부겸이 간다🐼 힘 가득 기운 가득! 후보자 지지유세 모음💙,2024-04-01T01:05:26Z,2629,463,0,18
pLXQecX6UME,"민주당의 인재, 준비된 후보",2024-03-31T09:12:51Z,4806,836,0,49
QSNx3SEqNy0,공약 맛집 😍 더불어민주당 총선 공약 모음.zip,2024-03-31T08:15:00Z,4307,717,0,22
